codigo;codigo_legacy;capitulo;partida;descripcion;unidad;precio;categoria;subcategoria;apartado;coste_materiales;coste_mano_obra;coste_complementarios;coste_otros;rendimiento;desperdicio_pct;notas_tecnicas
09.06.01.120;;Instalaciones;Instalación de altavoces.;Instalación de altavoces., con conexión y configuración. Incluye la conexión y la configuración. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.130;;Instalaciones;Instalación de amplificador.;Instalación de amplificador., con conexión y configuración. Incluye la conexión y la configuración. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.140;;Instalaciones;Instalación de receptor de TV.;Instalación de receptor de tv., con conexión y configuración. Incluye la conexión y la configuración. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.150;;Instalaciones;Instalación de antena.;Instalación de antena., con conexión y configuración. Incluye la conexión y la configuración. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.160;;Instalaciones;Instalación de sistema de intercomunicación.;Instalación de sistema de intercomunicación., con conexión y configuración. Incluye la conexión y la configuración. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.170;;Instalaciones;Instalación de videoportero inalámbrico.;Instalación de videoportero inalámbrico., con conexión y configuración. Incluye la conexión y la configuración. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.180;;Instalaciones;Instalación de intercomunicador de puerta.;Instalación de intercomunicador de puerta., con conexión y configuración. Incluye la conexión y la configuración. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.190;;Instalaciones;Instalación de sistema de música.;Instalación de sistema de música., con conexión y configuración. Incluye la conexión y la configuración. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.200;;Instalaciones;Instalación de cine en casa.;Instalación de cine en casa., con conexión y configuración. Incluye la conexión y la configuración. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.210;;Instalaciones;Instalación de sonido de sala.;Instalación de sonido de sala., con conexión y configuración. Incluye la conexión y la configuración. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.220;;Instalaciones;Instalación de sonido de dormitorio.;Instalación de sonido de dormitorio., con conexión y configuración. Incluye la conexión y la configuración. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.230;;Instalaciones;Instalación de sonido de terraza.;Instalación de sonido de terraza., con conexión y configuración. Incluye la conexión y la configuración. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.240;;Instalaciones;Instalación de sonido de jardín.;Instalación de sonido de jardín., con conexión y configuración. Incluye la conexión y la configuración. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.250;;Instalaciones;Instalación de intercomunicación general.;Instalación de intercomunicación general., con conexión y configuración. Incluye la conexión y la configuración. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.260;;Instalaciones;Instalación de videoportero con cámara.;Instalación de videoportero con cámara., con conexión y configuración. Incluye la conexión. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.270;;Instalaciones;Instalación de intercomunicador de edificio.;Instalación de intercomunicador de edificio., con conexión y configuración. Incluye la conexión. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.280;;Instalaciones;Instalación de portero con video.;Instalación de portero con video., con conexión y configuración. Incluye la conexión. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.290;;Instalaciones;Instalación de sistema de audio multizona.;Instalación de sistema de audio multizona., con conexión y configuración. Incluye la conexión. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.300;;Instalaciones;Instalación de sonido de ambiente.;Instalación de sonido de ambiente., con conexión y configuración. Incluye la conexión. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.310;;Instalaciones;Instalación de receptor satelital.;Instalación de receptor satelital., con conexión y configuración. Incluye la conexión. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.06.01.320;;Instalaciones;Instalación de sistema de cine en casa.;Instalación de sistema de cine., con conexión y configuración. Incluye la conexión. Medido por unidad instalada.;ud;13.39;09 Instalaciones;09.06 Audiovisuales, porteros e intercomunicación;09.06.01 Audiovisuales e intercomunicación;4.10;5.80;0.10;0.30;1.200 h/ud;;Coste directo 10.30 USD + margen 30%
09.07.01.010;CT-14-01-010;Instalaciones;Instalación de equipo de aire acondicionado tipo split.;Instalación de equipo de aire acondicionado tipo split, comprendiendo el montaje de la unidad evaporadora y de la condensadora, la interconexión frigorífica, el drenaje y la conexión eléctrica. Incluye el replanteo de ambas unidades respetando las distancias mínimas de servicio y la ventilación de la condensadora, el anclaje de los soportes, el abocardado de la tubería frigorífica, el vacío del circuito con bomba antes de abrir las válvulas, paso que se omite con frecuencia y que deja humedad dentro del circuito arruinando el compresor a medio plazo, la conexión eléctrica protegida, el drenaje con pendiente continua y la puesta en marcha con medición de presiones y temperaturas. El equipo lo elige el cliente y se presupuesta aparte. Medido por equipo instalado y probado.;ud;188.24;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;111.60;25.50;1.43;6.27;5.100 h/ud;;Coste directo 144.80 USD + margen 30% | NO INCLUYE el producto de elección del cliente: Equipo de aire acondicionado split de la capacidad y tipo elegidos por el cliente (1.0 ud/ud)
09.07.01.020;CT-14-01-020;Instalaciones;Tubería frigorífica y drenaje para climatización.;Tendido de la interconexión entre unidades de climatización, con par de tuberías frigoríficas de cobre aisladas, cable de interconexión y tubería de drenaje, por canalización o bandeja. Incluye el replanteo del recorrido buscando la menor longitud y el menor número de curvas, ya que cada metro y cada codo penalizan el rendimiento del equipo, el doblado sin estrangular la sección, el aislamiento continuo de ambas líneas incluidos los codos porque cualquier tramo desnudo condensa y gotea, la fijación con abrazaderas y el drenaje con pendiente continua hacia el punto de vertido. Medido en longitud realmente instalada.;m;21.97;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;13.34;2.53;0.17;0.86;0.540 h/m;;Coste directo 16.90 USD + margen 30%
09.07.01.030;CT-14-01-050;Instalaciones;Mantenimiento y limpieza de equipo de climatización.;Mantenimiento preventivo de equipo de climatización tipo split, con limpieza de filtros y serpentines, revisión del drenaje y comprobación de parámetros de funcionamiento. El drenaje obstruido es la causa más común de la avería que el usuario percibe como gotera del aire, y la suciedad del serpentín es lo que dispara el consumo eléctrico sin que el equipo enfríe mejor. Incluye el desmontaje y lavado de filtros, la limpieza química de los serpentines de ambas unidades, la desobstrucción y desinfección del drenaje, la revisión de presiones y del consumo, y el informe del estado. Medido por equipo mantenido.;ud;25.68;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;9.06;9.45;0.20;1.04;1.900 h/ud;;Coste directo 19.75 USD + margen 30%
09.07.01.040;;Instalaciones;Instalación de equipo split inverter.;Instalación de equipo split inverter., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.050;;Instalaciones;Instalación de equipo multisplit.;Instalación de equipo multisplit., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.060;;Instalaciones;Instalación de equipo de ventana.;Instalación de equipo de ventana., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.070;;Instalaciones;Instalación de equipo de piso-techo.;Instalación de equipo de piso-techo., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.080;;Instalaciones;Instalación de equipo cassette.;Instalación de equipo cassette., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.090;;Instalaciones;Instalación de unidad interior.;Instalación de unidad interior., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.100;;Instalaciones;Instalación de unidad condensadora.;Instalación de unidad condensadora., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.110;;Instalaciones;Tubería frigorífica y drenaje.;Instalación de equipo de climatización, con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.120;;Instalaciones;Carga de refrigerante.;Instalación de refrigerante., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.130;;Instalaciones;Instalación de termostato.;Instalación de termostato., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.140;;Instalaciones;Instalación de sistema de conductos.;Instalación de sistema de conductos., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.150;;Instalaciones;Instalación de rejilla de suministro.;Instalación de rejilla de suministro., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.160;;Instalaciones;Instalación de rejilla de retorno.;Instalación de rejilla de retorno., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.170;;Instalaciones;Instalación de equipo de precisión.;Instalación de equipo de precisión., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.180;;Instalaciones;Instalación de equipo de confort.;Instalación de equipo de confort., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.190;;Instalaciones;Instalación de equipo para dormitorio.;Instalación de equipo para dormitorio., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.200;;Instalaciones;Instalación de equipo para sala.;Instalación de equipo para sala., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.210;;Instalaciones;Instalación de equipo para oficina.;Instalación de equipo para oficina., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.220;;Instalaciones;Instalación de equipo para comercio.;Instalación de equipo para comercio., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.230;;Instalaciones;Instalación de equipo para restaurante.;Instalación de equipo para restaurante., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.240;;Instalaciones;Instalación de equipo para local.;Instalación de equipo para local., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.250;;Instalaciones;Instalación de equipo para consultorio.;Instalación de equipo para consultorio., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.260;;Instalaciones;Instalación de equipo para habitación.;Instalación de equipo para habitación., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.270;;Instalaciones;Instalación de equipo para estudio.;Instalación de equipo para estudio., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.280;;Instalaciones;Instalación de equipo para terraza.;Instalación de equipo para terraza., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.290;;Instalaciones;Instalación de equipo para garaje.;Instalación de equipo para garaje., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.300;;Instalaciones;Instalación de equipo para depósito.;Instalación de equipo para depósito., con conexión y puesta en marcha. Incluye la conexión y la puesta en marcha. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.310;;Instalaciones;Instalación de equipo split de pared.;Instalación de equipo split de pared., con conexión y puesta en marcha. Incluye la conexión. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.320;;Instalaciones;Instalación de equipo de techo.;Instalación de equipo de techo., con conexión y puesta en marcha. Incluye la conexión. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.07.01.330;;Instalaciones;Instalación de equipo de piso.;Instalación de equipo de piso., con conexión y puesta en marcha. Incluye la conexión. Medido por unidad instalada.;ud;98.41;09 Instalaciones;09.07 Climatización y refrigeración;09.07.01 Climatización y ventilación;60.00;14.50;0.75;0.45;3.000 h/ud;;Coste directo 75.70 USD + margen 30%
09.08.01.010;CT-14-01-030;Instalaciones;Instalación de extractor o ventilador.;Instalación de extractor de baño o cocina, o de ventilador de techo, con su conexión eléctrica y su salida al exterior cuando corresponda. Un extractor cuya descarga se queda en el plenum del cielo raso no extrae: recircula el aire húmedo y lo condensa dentro del cielo raso, con la consiguiente aparición de moho. Incluye el replanteo, la apertura del hueco, el montaje del equipo, la conducción de la descarga hasta el exterior con su rejilla y compuerta antirretorno, la conexión eléctrica con su mando y la prueba de funcionamiento y caudal. El equipo lo elige el cliente y se presupuesta aparte. Medido por unidad instalada.;ud;39.86;09 Instalaciones;09.08 Ventilación y extracción;09.08.01 Ventilación y extracción;21.71;7.98;0.30;0.67;1.650 h/ud;;Coste directo 30.66 USD + margen 30% | NO INCLUYE el producto de elección del cliente: Extractor o ventilador del modelo elegido por el cliente (1.0 ud/ud)
09.08.01.020;CT-14-01-040;Instalaciones;Ducto de ventilación.;Tendido de ducto de ventilación flexible o de lámina galvanizada, con sus accesorios, soportes y aislamiento cuando corresponda. Incluye el replanteo del trazado, el montaje de los tramos con uniones selladas para evitar pérdidas de caudal, que en un ducto mal sellado pueden superar el treinta por ciento, la fijación con soportes a la separación indicada evitando estrangulamientos y curvas cerradas en el flexible, el aislamiento térmico en los tramos que discurren por zonas no acondicionadas y la colocación de rejillas o difusores en los extremos. Medido en longitud realmente instalada.;m;16.26;09 Instalaciones;09.08 Ventilación y extracción;09.08.01 Ventilación y extracción;10.01;2.21;0.12;0.17;0.470 h/m;;Coste directo 12.51 USD + margen 30%
09.08.01.030;CT-14-01-060;Instalaciones;Rejilla de ventilación en pared o cielo raso.;Suministro y colocación de rejilla de ventilación en pared, puerta o cielo raso, con su marco y malla antiinsectos. Incluye el replanteo, la apertura del hueco con el corte limpio adecuado al material, la colocación del marco enrasado, el sellado perimetral, la colocación de la rejilla y su malla y la comprobación de que la sección libre de paso es la requerida, ya que una rejilla de dimensiones correctas pero con lamas muy cerradas puede dejar pasar la mitad del aire previsto. Medido por unidad instalada.;ud;20.75;09 Instalaciones;09.08 Ventilación y extracción;09.08.01 Ventilación y extracción;11.52;3.77;0.16;0.51;0.780 h/ud;;Coste directo 15.96 USD + margen 30%
09.08.01.040;;Instalaciones;Instalación de extractor de baño.;Instalación de extractor de baño., con conexión. Incluye la conexión y la fijación. Medido por unidad instalada.;ud;36.89;09 Instalaciones;09.08 Ventilación y extracción;09.08.01 Ventilación y extracción;22.00;5.80;0.28;0.30;1.200 h/ud;;Coste directo 28.38 USD + margen 30%
09.08.01.050;;Instalaciones;Instalación de extractor de cocina.;Instalación de extractor de cocina., con conexión. Incluye la conexión y la fijación. Medido por unidad instalada.;ud;36.89;09 Instalaciones;09.08 Ventilación y extracción;09.08.01 Ventilación y extracción;22.00;5.80;0.28;0.30;1.200 h/ud;;Coste directo 28.38 USD + margen 30%
09.08.01.060;;Instalaciones;Instalación de ventilador de techo.;Instalación de ventilador de techo., con conexión. Incluye la conexión y la fijación. Medido por unidad instalada.;ud;36.89;09 Instalaciones;09.08 Ventilación y extracción;09.08.01 Ventilación y extracción;22.00;5.80;0.28;0.30;1.200 h/ud;;Coste directo 28.38 USD + margen 30%
09.08.01.070;;Instalaciones;Instalación de ventilador de pared.;Instalación de ventilador de pared., con conexión. Incluye la conexión y la fijación. Medido por unidad instalada.;ud;36.89;09 Instalaciones;09.08 Ventilación y extracción;09.08.01 Ventilación y extracción;22.00;5.80;0.28;0.30;1.200 h/ud;;Coste directo 28.38 USD + margen 30%
09.08.01.080;;Instalaciones;Instalación de ventilador de piso.;Instalación de ventilador de piso., con conexión. Incluye la conexión y la fijación. Medido por unidad instalada.;ud;36.89;09 Instalaciones;09.08 Ventilación y extracción;09.08.01 Ventilación y extracción;22.00;5.80;0.28;0.30;1.200 h/ud;;Coste directo 28.38 USD + margen 30%
09.08.01.090;;Instalaciones;Instalación de campana extractora.;Instalación de campana extractora., con conexión. Incluye la conexión y la fijación. Medido por unidad instalada.;ud;36.89;09 Instalaciones;09.08 Ventilación y extracción;09.08.01 Ventilación y extracción;22.00;5.80;0.28;0.30;1.200 h/ud;;Coste directo 28.38 USD + margen 30%
09.08.01.100;;Instalaciones;Instalación de ducto flexible.;Instalación de ducto flexible., con conexión. Incluye la conexión y la fijación. Medido por unidad instalada.;ud;36.89;09 Instalaciones;09.08 Ventilación y extracción;09.08.01 Ventilación y extracción;22.00;5.80;0.28;0.30;1.200 h/ud;;Coste directo 28.38 USD + margen 30%
09.08.01.110;;Instalaciones;Instalación de ducto rígido.;Instalación de ducto rígido., con conexión. Incluye la conexión y la fijación. Medido por unidad instalada.;ud;36.89;09 Instalaciones;09.08 Ventilación y extracción;09.08.01 Ventilación y extracción;22.00;5.80;0.28;0.30;1.200 h/ud;;Coste directo 28.38 USD + margen 30%
09.08.01.120;;Instalaciones;Instalación de rejilla de ventilación.;Instalación de rejilla de ventilación., con conexión. Incluye la conexión y la fijación. Medido por unidad instalada.;ud;36.89;09 Instalaciones;09.08 Ventilación y extracción;09.08.01 Ventilación y extracción;22.00;5.80;0.28;0.30;1.200 h/ud;;Coste directo 28.38 USD + margen 30%
09.08.01.130;;Instalaciones;Instalación de rejilla de extracción.;Instalación de rejilla de extracción., con conexión. Incluye la conexión y la fijación. Medido por unidad instalada.;ud;36.89;09 Instalaciones;09.08 Ventilación y extracción;09.08.01 Ventilación y extracción;22.00;5.80;0.28;0.30;1.200 h/ud;;Coste directo 28.38 USD + margen 30%
09.08.01.140;;Instalaciones;Instalación de difusor.;Instalación de difusor., con conexión. Incluye la conexión y la fijación. Medido por unidad instalada.;ud;36.89;09 Instalaciones;09.08 Ventilación y extracción;09.08.01 Ventilación y extracción;22.00;5.80;0.28;0.30;1.200 h/ud;;Coste directo 28.38 USD + margen 30%
09.08.01.150;;Instalaciones;Instalación de ventilación de baño.;Instalación de ventilación de baño., con conexión. Incluye la conexión y la fijación. Medido por unidad instalada.;ud;36.89;09 Instalaciones;09.08 Ventilación y extracción;09.08.01 Ventilación y extracción;22.00;5.80;0.28;0.30;1.200 h/ud;;Coste directo 28.38 USD + margen 30%
09.08.01.160;;Instalaciones;Instalación de ventilación de cocina.;Instalación de ventilación de cocina., con conexión. Incluye la conexión y la fijación. Medido por unidad instalada.;ud;36.89;09 Instalaciones;09.08 Ventilación y extracción;09.08.01 Ventilación y extracción;22.00;5.80;0.28;0.30;1.200 h/ud;;Coste directo 28.38 USD + margen 30%
09.08.01.170;;Instalaciones;Instalación de ventilación de sótano.;Instalación de ventilación de sótano., con conexión. Incluye la conexión y la fijación. Medido por unidad instalada.;ud;36.89;09 Instalaciones;09.08 Ventilación y extracción;09.08.01 Ventilación y extracción;22.00;5.80;0.28;0.30;1.200 h/ud;;Coste directo 28.38 USD + margen 30%
